10,141,-1.81,,,,,,,,,,,,
10.19,138.35,-3.45,,,,,,,,,,,,
10.38,135.8,-5.27,,,,,,,,,,,,
10.57,133.34,-7.09,,,,,,,,,,,,
10.76,130.97,-8.91,,,,,,,,,,,,
10.95,128.68,-10.68,,,,,,,,,,,,
11.14,126.47,-12.22,,,,,,,,,,,,
11.33,124.33,-13.6,,,,,,,,,,,,
11.52,122.26,-14.87,,,,,,,,,,,,
11.71,120.26,-16.06,,,,,,,,,,,,
11.9,118.33,-17.19,,,,,,,,,,,,
12.09,116.45,-18.3,,,,,,,,,,,,
12.28,114.64,-19.42,,,,,,,,,,,,
12.47,112.87,-20.5,,,,,,,,,,,,
12.66,111.16,-21.53,,,,,,,,,,,,
12.85,109.51,-22.53,,,,,,,,,,,,
13.04,107.9,-23.49,,,,,,,,,,,,
13.23,106.33,-24.4,,,,,,,,,,,,
13.42,104.81,-25.28,,,,,,,,,,,,
13.61,103.34,-26.12,,,,,,,,,,,,
13.8,101.9,-26.92,,,,,,,,,,,,
13.99,100.5,-27.67,,,,,,,,,,,,
14.18,99.14,-28.39,,,,,,,,,,,,
14.37,97.82,-29.07,,,,,,,,,,,,
14.559999,96.53,-29.71,,,,,,,,,,,,
14.75,95.27,-30.31,,,,,,,,,,,,
14.940001,94.05,-30.87,,,,,,,,,,,,
15.13,92.85,-31.38,,,,,,,,,,,,
15.32,91.69,-31.85,,,,,,,,,,,,  
15.51,90.55,-32.29,,,,,,,,,,,,
15.7,89.45,-32.69,,,,,,,,,,,,
15.889999,88.36,-33.06,,,,,,,,,,,,
16.08,87.31,-33.41,,,,,,,,,,,,
16.27,86.28,-33.73,,,,,,,,,,,,
16.459999,85.27,-34.03,,,,,,,,,,,,
16.65,84.29,-34.3,,,,,,,,,,,,
16.84,83.32,-34.54,,,,,,,,,,,,
17.030001,82.38,-34.75,,,,,,,,,,,,
17.219999,81.46,-34.93,,,,,,,,,,,,
17.41,80.56,-35.08,,,,,,,,,,,,
17.6,79.68,-35.21,,,,,,,,,,,,
17.790001,78.82,-35.31,,,,,,,,,,,,
17.98,77.98,-35.39,,,,,,,,,,,,
18.17,77.15,-35.47,,,,,,,,,,,,
18.360001,76.34,-35.52,,,,,,,,,,,,
18.549999,75.55,-35.55,,,,,,,,,,,,
18.74,74.77,-35.56,,,,,,,,,,,,
18.93,74.01,-35.55,,,,,,,,,,,,
19.119999,73.27,-35.49,,,,,,,,,,,,
19.310001,72.54,-35.41,,,,,,,,,,,,
19.5,71.82,-35.31,,,,,,,,,,,,
19.689999,71.12,-35.2,,,,,,,,,,,,
19.880001,70.43,-35.09,,,,,,,,,,,,
20.07,69.75,-34.98,,,,,,,,,,,,
20.26,69.09,-34.9,,,,,,,,,,,,
20.450001,68.44,-34.81,,,,,,,,,,,,
20.639999,67.8,-34.71,,,,,,,,,,,,
20.83,67.17,-34.6,,,,,,,,,,,,
21.02,66.55,-34.47,,,,,,,,,,,,
21.209999,65.95,-34.3,,,,,,,,,,,,
21.4,65.36,-34.11,,,,,,,,,,,,
21.59,64.77,-33.91,,,,,,,,,,,,
21.779999,64.2,-33.68,,,,,,,,,,,,
21.970001,63.63,-33.45,,,,,,,,,,,,
22.16,63.08,-33.19,,,,,,,,,,,,
22.35,62.53,-32.92,,,,,,,,,,,,
22.540001,62,-32.64,,,,,,,,,,,,
22.73,61.47,-32.35,,,,,,,,,,,,
22.92,60.95,-32.05,,,,,,,,,,,,
23.110001,60.45,-31.73,,,,,,,,,,,,
23.299999,59.94,-31.41,,,,,,,,,,,,
23.49,59.45,-31.08,,,,,,,,,,,,
23.68,58.97,-30.74,,,,,,,,,,,,
23.869999,58.49,-30.39,,,,,,,,,,,,
24.060001,58.02,-30.05,,,,,,,,,,,,
24.25,57.56,-29.72,,,,,,,,,,,,
24.439999,57.1,-29.4,,,,,,,,,,,,
24.630001,56.65,-29.06,,,,,,,,,,,,
24.82,56.21,-28.73,,,,,,,,,,,,
25.01,55.78,-28.39,,,,,,,,,,,,
25.200001,55.35,-28.05,,,,,,,,,,,,
25.389999,54.93,-27.71,,,,,,,,,,,,
25.58,54.51,-27.36,,,,,,,,,,,,
25.77,54.1,-27.02,,,,,,,,,,,,
25.959999,53.7,-26.67,,,,,,,,,,,,
26.15,53.3,-26.32,,,,,,,,,,,,
26.34,52.91,-25.97,,,,,,,,,,,,
26.530001,52.52,-25.61,,,,,,,,,,,,
26.719999,52.14,-25.25,,,,,,,,,,,,
26.91,51.77,-24.9,,,,,,,,,,,,
27.1,51.4,-24.53,,,,,,,,,,,,
27.290001,51.03,-24.17,,,,,,,,,,,,
27.48,50.67,-23.81,,,,,,,,,,,,
27.67,50.32,-23.44,,,,,,,,,,,,
27.860001,49.97,-23.08,,,,,,,,,,,,
28.049999,49.62,-22.71,,,,,,,,,,,,
28.24,49.28,-22.33,,,,,,,,,,,,
28.43,48.95,-21.96,,,,,,,,,,,,
28.620001,48.62,-21.59,,,,,,,,,,,,
28.809999,48.29,-21.23,,,,,,,,,,,,
29,47.97,-20.87,,,,,,,,,,,,
29.190001,47.65,-20.52,,,,,,,,,,,,
29.379999,47.33,-20.17,,,,,,,,,,,,
29.57,47.02,-19.81,,,,,,,,,,,,
29.76,46.72,-19.45,,,,,,,,,,,,
29.950001,46.41,-19.1,,,,,,,,,,,,
30.139999,46.11,-18.76,,,,,,,,,,,,
30.33,45.82,-18.42,,,,,,,,,,,,
30.52,45.53,-18.08,,,,,,,,,,,,
30.709999,45.24,-17.75,,,,,,,,,,,,
